#SampleID	ProjectID	Biome	Sample Name	Sample Description	Sample ID	Run ID	Biome	Experiment type	Instrument model	Release version	pca1_L2	pca1_L3	pca1_L4	pca1_L5	pca1_unweighted_unifrac	random	constant
SRR1272178	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602506	SRR1272178	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272177	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. bulk soil	SRS602505	SRR1272177	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272166	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602504	SRR1272166	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272159	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from bulk soil	SRS602503	SRR1272159	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272158	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil.	SRS602502	SRR1272158	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272157	SRP041697	Grasslands	site10_bulk	Bacterial 16S amplified from bulk soil	SRS602501	SRR1272157	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272156	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602500	SRR1272156	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272155	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from bulk soil	SRS602499	SRR1272155	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272154	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602498	SRR1272154	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272153	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from bulk soil	SRS602497	SRR1272153	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272152	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602473	SRR1272152	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272035	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from bulk soil	SRS602379	SRR1272035	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272034	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602378	SRR1272034	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272033	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from bulk soil	SRS602377	SRR1272033	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272032	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602376	SRR1272032	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272031	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from bulk soil	SRS602375	SRR1272031	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272030	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602374	SRR1272030	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272029	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from bulk soil	SRS602373	SRR1272029	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272028	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602372	SRR1272028	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
SRR1272027	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from bulk soil	SRS602371	SRR1272027	Grasslands	amplicon	Illumina Genome Analyzer IIx	2							
