#SampleID	ProjectID	Biome	Sample Name	Sample Description	Sample ID	Run ID	Biome	Experiment type	Instrument model	Release version	pca1_L2	pca1_L3	pca1_L4	pca1_L5	pca1_unweighted_unifrac	random	constant
SRR1272178	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602506	SRR1272178	Grasslands	amplicon	Illumina Genome Analyzer IIx	2	-0.1375125736	-0.3261092074	-0.3311525282	-0.3458254898	-0.289453456	0.0749659361	1
SRR1272177	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. bulk soil	SRS602505	SRR1272177	Grasslands	amplicon	Illumina Genome Analyzer IIx	2	-0.1267835951	-0.3140948194	-0.3177947253	-0.332632378	-0.2771350782	0.2881901823	2
SRR1272166	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602504	SRR1272166	Grasslands	amplicon	Illumina Genome Analyzer IIx	2	-0.1602023187	-0.3080816179	-0.3264635307	-0.3353530498	-0.2842012486	0.801947942	3
SRR1272159	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from bulk soil	SRS602503	SRR1272159	Grasslands	amplicon	Illumina Genome Analyzer IIx	2	-0.1564282394	-0.3199842971	-0.3237077736	-0.3401940694	-0.2819958686	0.5120839117	4
SRR1272158	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil.	SRS602502	SRR1272158	Grasslands	amplicon	Illumina Genome Analyzer IIx	2	-0.0907372363	-0.3076013138	-0.313296578	-0.3143470604	-0.2801671853	0.4689965664	5
SRR1272157	SRP041697	Grasslands	site10_bulk	Bacterial 16S amplified from bulk soil	SRS602501	SRR1272157	Grasslands	amplicon	Illumina Genome Analyzer IIx	2	-0.1818988371	-0.3393518478	-0.3385199626	-0.3516796355	-0.2846787319	0.0391599776	6
SRR1272156	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602500	SRR1272156	Grasslands	amplicon	Illumina Genome Analyzer IIx	2	-0.1607440417	-0.3082101459	-0.3093432655	-0.3037890716	-0.2718853045	0.0507247056	7
SRR1272155	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from bulk soil	SRS602499	SRR1272155	Grasslands	amplicon	Illumina Genome Analyzer IIx	2	-0.1374605231	-0.3255109433	-0.3219617134	-0.3323481948	-0.2771956451	0.6591864403	8
SRR1272154	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602498	SRR1272154	Grasslands	amplicon	Illumina Genome Analyzer IIx	2	-0.1488565135	-0.3087466784	-0.304612836	-0.3086374644	-0.2722153076	0.0709026892	9
SRR1272153	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from bulk soil	SRS602497	SRR1272153	Grasslands	amplicon	Illumina Genome Analyzer IIx	2	-0.1499884343	-0.3106339993	-0.3128686171	-0.3248732472	-0.2766602614	0.5291049265	10
SRR1272152	SRP041697	Grasslands	Grassland 16S amplicons	Bacterial 16S amplified from Avena sp. rhizopshere soil	SRS602473	SRR1272152	Grasslands	amplicon	Illumina Genome Analyzer IIx	2	-0.1442662778	-0.3091117816	-0.3089057419	-0.3128077192	-0.2580078418	0.2487095923	11
