L2,,,,
taxonomy,Test stat.,pval,pval_fdr,pval_bon
k__Bacteria;p__GAL15,-0.8169216656,0,0,0
k__Bacteria;p__Bacteroidetes,0.7832167832,0.005,0.1283333333,0.275
,,,,
L3,,,,
taxonomy,Test stat.,pval,pval_fdr,pval_bon
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,-0.8601398601,0.001,0.181,0.181
k__Bacteria;p__Chloroflexi;c__TK10,-0.7832167832,0.002,0.181,0.362
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,-0.8041958042,0.003,0.181,0.543
k__Bacteria;p__TM7;c__TM7-3,0.7047379076,0.005,0.22625,0.905
,,,,
L4,,,,
taxonomy,Test stat.,pval,pval_fdr,pval_bon
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__,0.8531468531,0,0,0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales,0.7692307692,0.002,0.2426666667,0.728
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales,0.7762237762,0.002,0.2426666667,0.728
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales],0.7832167832,0.005,0.455,1
,,,,
L5,,,,
taxonomy,Test stat.,pval,pval_fdr,pval_bon
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae],-0.9160839161,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__,-0.8671328671,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae,-0.7972027972,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__,-0.7972027972,0.002,0.293,1
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae,0.7622377622,0.003,0.3516,1
k__Bacteria;p__Armatimonadetes;c__SJA-176;o__;f__,-0.757203629,0.004,0.3906666667,1
k__Bacteria;p__Acidobacteria;c__TM1;o__;f__,-0.7692307692,0.005,0.4185714286,1
,,,,
taxonomy,,,,
k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Ellin5301; g__; s__,-0.828956394,0,0,0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Herminiimonas; s__,-0.8830955197,0,0,0
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__,-0.8807071758,0,0,0
k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__FW68; f__; g__; s__,-0.8556550205,0,0,0
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,-0.8461538462,0,0,0
k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__,-0.8070225117,0,0,0
k__Bacteria; p__OP3; c__koll11; o__GIF10; f__kpj58rc; g__; s__,-0.8889374501,0,0,0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__; f__; g__; s__,-0.8628854027,0,0,0
